Mod:Item:MetaData, Localized Name
appliedenergistics2:facade:0, Cable Facade - Papaya Wood (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Pine Wood (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Plum Wood (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Maple Wood (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Citrus Wood (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Giant Sequoia Wood (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Ipe Wood (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Padauk Wood (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Cocobolo Wood (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Zebrawood Wood (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Oak Log (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Spruce Log (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Birch Log (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Jungle Log (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Acacia Log (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Dark Oak Log (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Larch Wood Planks
appliedenergistics2:facade:0, Cable Facade - Teak Wood Planks
appliedenergistics2:facade:0, Cable Facade - Desert Acacia Wood Planks
appliedenergistics2:facade:0, Cable Facade - Lime Wood Planks
appliedenergistics2:facade:0, Cable Facade - Chestnut Wood Planks
appliedenergistics2:facade:0, Cable Facade - Wenge Wood Planks
appliedenergistics2:facade:0, Cable Facade - Baobab Wood Planks
appliedenergistics2:facade:0, Cable Facade - Sequoia Wood Planks
appliedenergistics2:facade:0, Cable Facade - Kapok Wood Planks
appliedenergistics2:facade:0, Cable Facade - Ebony Wood Planks
appliedenergistics2:facade:0, Cable Facade - Mahogany Wood Planks
appliedenergistics2:facade:0, Cable Facade - Balsa Wood Planks
appliedenergistics2:facade:0, Cable Facade - Willow Wood Planks
appliedenergistics2:facade:0, Cable Facade - Walnut Wood Planks
appliedenergistics2:facade:0, Cable Facade - Greenheart Wood Planks
appliedenergistics2:facade:0, Cable Facade - Cherry Wood Planks
appliedenergistics2:facade:0, Cable Facade - Mahoe Wood Planks
appliedenergistics2:facade:0, Cable Facade - Poplar Wood Planks
appliedenergistics2:facade:0, Cable Facade - Palm Wood Planks
appliedenergistics2:facade:0, Cable Facade - Papaya Wood Planks
appliedenergistics2:facade:0, Cable Facade - Pine Wood Planks
appliedenergistics2:facade:0, Cable Facade - Plum Wood Planks
appliedenergistics2:facade:0, Cable Facade - Maple Wood Planks
appliedenergistics2:facade:0, Cable Facade - Citrus Wood Planks
appliedenergistics2:facade:0, Cable Facade - Giant Sequoia Wood Planks
appliedenergistics2:facade:0, Cable Facade - Ipe Wood Planks
appliedenergistics2:facade:0, Cable Facade - Padauk Wood Planks
appliedenergistics2:facade:0, Cable Facade - Cocobolo Wood Planks
appliedenergistics2:facade:0, Cable Facade - Zebrawood Wood Planks
appliedenergistics2:facade:0, Cable Facade - Larch Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Teak Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Desert Acacia Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Lime Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Chestnut Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Wenge Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Baobab Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Sequoia Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Kapok Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Ebony Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Mahogany Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Balsa Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Willow Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Walnut Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Greenheart Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Cherry Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Mahoe Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Poplar Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Palm Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Papaya Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Pine Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Plum Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Maple Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Citrus Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Giant Sequoia Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Ipe Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Padauk Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Cocobolo Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Zebrawood Wood Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Oak Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Spruce Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Birch Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Jungle Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Acacia Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Dark Oak Planks (Fireproof)
appliedenergistics2:facade:0, Cable Facade - Apple Oak Leaves
appliedenergistics2:facade:0, Cable Facade - Dark Oak Leaves
appliedenergistics2:facade:0, Cable Facade - Silver Birch Leaves
appliedenergistics2:facade:0, Cable Facade - Silver Lime Leaves
appliedenergistics2:facade:0, Cable Facade - Common Walnut Leaves
appliedenergistics2:facade:0, Cable Facade - Sweet Chestnut Leaves
appliedenergistics2:facade:0, Cable Facade - Hill Cherry Leaves
appliedenergistics2:facade:0, Cable Facade - Lemon Leaves
appliedenergistics2:facade:0, Cable Facade - Plum Leaves
appliedenergistics2:facade:0, Cable Facade - Sugar Maple Leaves
appliedenergistics2:facade:0, Cable Facade - Red Spruce Leaves
appliedenergistics2:facade:0, Cable Facade - Mundane Larch Leaves
appliedenergistics2:facade:0, Cable Facade - Bull Pine Leaves
appliedenergistics2:facade:0, Cable Facade - Coast Sequoia Leaves
appliedenergistics2:facade:0, Cable Facade - Giant Sequoia Leaves
appliedenergistics2:facade:0, Cable Facade - Jungle Leaves
appliedenergistics2:facade:0, Cable Facade - Teak Leaves
appliedenergistics2:facade:0, Cable Facade - Ipe Leaves
appliedenergistics2:facade:0, Cable Facade - Kapok Leaves
appliedenergistics2:facade:0, Cable Facade - Myrtle Ebony Leaves
appliedenergistics2:facade:0, Cable Facade - Zebrawood Leaves
appliedenergistics2:facade:0, Cable Facade - Yellow Meranti Leaves
appliedenergistics2:facade:0, Cable Facade - Acacia Leaves
appliedenergistics2:facade:0, Cable Facade - Desert Acacia Leaves
appliedenergistics2:facade:0, Cable Facade - Padauk Leaves
appliedenergistics2:facade:0, Cable Facade - Balsa Leaves
appliedenergistics2:facade:0, Cable Facade - Cocobolo Leaves
appliedenergistics2:facade:0, Cable Facade - Wenge Leaves
appliedenergistics2:facade:0, Cable Facade - Grandidier's Baobab Leaves
appliedenergistics2:facade:0, Cable Facade - Blue Mahoe Leaves
appliedenergistics2:facade:0, Cable Facade - White Willow Leaves
appliedenergistics2:facade:0, Cable Facade - Sipiri Leaves
appliedenergistics2:facade:0, Cable Facade - Papaya Leaves
appliedenergistics2:facade:0, Cable Facade - Date Palm Leaves
appliedenergistics2:facade:0, Cable Facade - White Poplar Leaves
appliedenergistics2:facade:0, Cable Facade - Iron-Bordered Cobblestone
appliedenergistics2:facade:0, Cable Facade - Gold-Bordered Cobblestone
appliedenergistics2:facade:0, Cable Facade - Diamond-Bordered Cobblestone
appliedenergistics2:facade:0, Cable Facade - Emerald-Bordered Cobblestone
appliedenergistics2:facade:0, Cable Facade - Quartz-Bordered Cobblestone
appliedenergistics2:facade:0, Cable Facade - Magical Planks
appliedenergistics2:facade:0, Cable Facade - Magical Wood
appliedenergistics2:facade:0, Cable Facade - Diagonal Wood
appliedenergistics2:facade:0, Cable Facade - Angel Block
appliedenergistics2:facade:0, Cable Facade - Cursed Earth
appliedenergistics2:facade:0, Cable Facade - Redstone Clock
appliedenergistics2:facade:0, Cable Facade - Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Double Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Triple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Quadruple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Quintuple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Sextuple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Septuple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Octuple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Compressed Dirt
appliedenergistics2:facade:0, Cable Facade - Double Compressed Dirt
appliedenergistics2:facade:0, Cable Facade - Triple Compressed Dirt
appliedenergistics2:facade:0, Cable Facade - Quadruple Compressed Dirt
appliedenergistics2:facade:0, Cable Facade - Compressed Sand
appliedenergistics2:facade:0, Cable Facade - Double Compressed Sand
appliedenergistics2:facade:0, Cable Facade - Compressed Gravel
appliedenergistics2:facade:0, Cable Facade - Double Compressed Gravel
appliedenergistics2:facade:0, Cable Facade - Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Double Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Triple Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Quadruple Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Quintuple Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Sextuple Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Border Stone
appliedenergistics2:facade:0, Cable Facade - Crossed Stone
appliedenergistics2:facade:0, Cable Facade - Polished Stone
appliedenergistics2:facade:0, Cable Facade - Stoneburnt
appliedenergistics2:facade:0, Cable Facade - Sandy Glass
appliedenergistics2:facade:0, Cable Facade - Truchet
appliedenergistics2:facade:0, Cable Facade - Blue Quartz
appliedenergistics2:facade:0, Cable Facade - Quartzburnt
appliedenergistics2:facade:0, Cable Facade - Rainbow Stone
appliedenergistics2:facade:0, Cable Facade - Thickened Glass
appliedenergistics2:facade:0, Cable Facade - Thickened Glass (Bordered)
appliedenergistics2:facade:0, Cable Facade - Thickened Glass (Patterned)
appliedenergistics2:facade:0, Cable Facade - Dark Glass
appliedenergistics2:facade:0, Cable Facade - Glowing Glass
appliedenergistics2:facade:0, Cable Facade - Redstone Glass
appliedenergistics2:facade:0, Cable Facade - Block of Enchanted Metal
appliedenergistics2:facade:0, Cable Facade - Block of Demon Metal
appliedenergistics2:facade:0, Cable Facade - Block of Evil Infused Iron
appliedenergistics2:facade:0, Cable Facade - Bedrock Bricks
appliedenergistics2:facade:0, Cable Facade - Bedrock Slabs
appliedenergistics2:facade:0, Cable Facade - Bedrock Cobblestone
appliedenergistics2:facade:0, Cable Facade - Ferrous-Juniper Log
appliedenergistics2:facade:0, Cable Facade - Ferrous-Juniper Log
appliedenergistics2:facade:0, Cable Facade - Ferrous-Juniper Planks
appliedenergistics2:facade:0, Cable Facade - Raw Ferrous-Juniper Planks
appliedenergistics2:facade:0, Cable Facade - Certus Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Charged Certus Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Certus Quartz Block
appliedenergistics2:facade:0, Cable Facade - Certus Quartz Pillar
appliedenergistics2:facade:0, Cable Facade - Chiseled Certus Quartz Block
appliedenergistics2:facade:0, Cable Facade - Quartz Glass
appliedenergistics2:facade:0, Cable Facade - Vibrant Quartz Glass
appliedenergistics2:facade:0, Cable Facade - Fluix Block
appliedenergistics2:facade:0, Cable Facade - Sky Stone
appliedenergistics2:facade:0, Cable Facade - Sky Stone Block
appliedenergistics2:facade:0, Cable Facade - Sky Stone Brick
appliedenergistics2:facade:0, Cable Facade - Sky Stone Small Brick
appliedenergistics2:facade:0, Cable Facade - Fission Casing
appliedenergistics2:facade:0, Cable Facade - Fission Core
appliedenergistics2:facade:0, Cable Facade - Fusion Casing
appliedenergistics2:facade:0, Cable Facade - Fusion Core
appliedenergistics2:facade:0, Cable Facade - Neon Light
appliedenergistics2:facade:0, Cable Facade - Helium Light
appliedenergistics2:facade:0, Cable Facade - Argon Light
appliedenergistics2:facade:0, Cable Facade - Krypton Light
appliedenergistics2:facade:0, Cable Facade - Xenon Light
appliedenergistics2:facade:0, Cable Facade - Wet Sand
appliedenergistics2:facade:0, Cable Facade - Tin Decoration Block
appliedenergistics2:facade:0, Cable Facade - Tin Wall Block
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Silicon Ore
appliedenergistics2:facade:0, Cable Facade - Copper Block
appliedenergistics2:facade:0, Cable Facade - Block of Tin
appliedenergistics2:facade:0, Cable Facade - Aluminum Block
appliedenergistics2:facade:0, Cable Facade - Solid Meteoric Iron
appliedenergistics2:facade:0, Cable Facade - Silicon Block
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Cheese Ore
appliedenergistics2:facade:0, Cable Facade - Moon Dirt
appliedenergistics2:facade:0, Cable Facade - Moon Rock
appliedenergistics2:facade:0, Cable Facade - Moon Turf
appliedenergistics2:facade:0, Cable Facade - Sapphire Ore
appliedenergistics2:facade:0, Cable Facade - Moon Dungeon Brick
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.tin_slab_1.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.tin_slab_2.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.moon_slab.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.moon_bricks_slab.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.mars_slab.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.mars_bricks_slab.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.asteroids_slab.name
appliedenergistics2:facade:0, Cable Facade - Hidden Redstone Wire
appliedenergistics2:facade:0, Cable Facade - tile.concealed_repeater_pow.name
appliedenergistics2:facade:0, Cable Facade - Hidden Redstone Repeater
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Desh Ore
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Mars Cobblestone
appliedenergistics2:facade:0, Cable Facade - Mars Fine Regolith
appliedenergistics2:facade:0, Cable Facade - Mars Regolith
appliedenergistics2:facade:0, Cable Facade - Mars Dungeon Brick
appliedenergistics2:facade:0, Cable Facade - Block of Desh
appliedenergistics2:facade:0, Cable Facade - Mars Stone
appliedenergistics2:facade:0, Cable Facade - Asteroid Rock
appliedenergistics2:facade:0, Cable Facade - Asteroid Rock
appliedenergistics2:facade:0, Cable Facade - Asteroid Rock
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Ilmenite Ore
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Dark Decoration Block
appliedenergistics2:facade:0, Cable Facade - Titanium Block
appliedenergistics2:facade:0, Cable Facade - Dense Ice
appliedenergistics2:facade:0, Cable Facade - Venus Soft Rock
appliedenergistics2:facade:0, Cable Facade - Venus Hard Rock
appliedenergistics2:facade:0, Cable Facade - Venus Volcanic Rock
appliedenergistics2:facade:0, Cable Facade - Pumice
appliedenergistics2:facade:0, Cable Facade - Venus Dungeon Brick I
appliedenergistics2:facade:0, Cable Facade - Venus Dungeon Brick II
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Galena Ore
appliedenergistics2:facade:0, Cable Facade - Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Silicon Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Lead Block
appliedenergistics2:facade:0, Cable Facade - Solar Ore
appliedenergistics2:facade:0, Cable Facade - Scorched Venus Rock
appliedenergistics2:facade:0, Cable Facade - Basic Machine Frame
appliedenergistics2:facade:0, Cable Facade - Advanced Machine Frame
appliedenergistics2:facade:0, Cable Facade - Modern Machine Frame
appliedenergistics2:facade:0, Cable Facade - Dead Leaves
appliedenergistics2:facade:0, Cable Facade - Cobalt Ore
appliedenergistics2:facade:0, Cable Facade - Nickel Ore
appliedenergistics2:facade:0, Cable Facade - Uranium Ore
appliedenergistics2:facade:0, Cable Facade - Cobalt Decoration Block
appliedenergistics2:facade:0, Cable Facade - Magnesium Decoration Block
appliedenergistics2:facade:0, Cable Facade - Nickel Decoration Block
appliedenergistics2:facade:0, Cable Facade - Copper Decoration Block
appliedenergistics2:facade:0, Cable Facade - Cobalt Decoration Block
appliedenergistics2:facade:0, Cable Facade - Magnesium Decoration Block
appliedenergistics2:facade:0, Cable Facade - Nickel Decoration Block
appliedenergistics2:facade:0, Cable Facade - Copper Decoration Block
appliedenergistics2:facade:0, Cable Facade - Cobalt Block
appliedenergistics2:facade:0, Cable Facade - Nickel Block
appliedenergistics2:facade:0, Cable Facade - Magnesium Block
appliedenergistics2:facade:0, Cable Facade - Mercury Surface Rock
appliedenergistics2:facade:0, Cable Facade - Mercury Subsurface Rock
appliedenergistics2:facade:0, Cable Facade - Mercury Stone
appliedenergistics2:facade:0, Cable Facade - Nickel Ore
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Magnesium Ore
appliedenergistics2:facade:0, Cable Facade - Diamond Ore
appliedenergistics2:facade:0, Cable Facade - Gold Ore
appliedenergistics2:facade:0, Cable Facade - Coal Ore
appliedenergistics2:facade:0, Cable Facade - Redstone Ore
appliedenergistics2:facade:0, Cable Facade - Silicon Ore
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Ceres Surface Rock
appliedenergistics2:facade:0, Cable Facade - Ceres Subsurface Rock
appliedenergistics2:facade:0, Cable Facade - Dolomite Ore
appliedenergistics2:facade:0, Cable Facade - Meteoric Iron Ore
appliedenergistics2:facade:0, Cable Facade - Ceres Dungeon Top
appliedenergistics2:facade:0, Cable Facade - Ceres Dungeon Floor
appliedenergistics2:facade:0, Cable Facade - Pluto Surface Rock
appliedenergistics2:facade:0, Cable Facade - Pluto Surface Rock
appliedenergistics2:facade:0, Cable Facade - Pluto Surface Rock
appliedenergistics2:facade:0, Cable Facade - Pluto Surface Rock
appliedenergistics2:facade:0, Cable Facade - Pluto Surface Rock
appliedenergistics2:facade:0, Cable Facade - Pluto Stone
appliedenergistics2:facade:0, Cable Facade - Haumea Surface Rock
appliedenergistics2:facade:0, Cable Facade - Haumea Stone
appliedenergistics2:facade:0, Cable Facade - Haumea Cobblestone
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Phobos Regolite
appliedenergistics2:facade:0, Cable Facade - Phobos Stone
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Meteoric Iron Ore
appliedenergistics2:facade:0, Cable Facade - Nickel Ore
appliedenergistics2:facade:0, Cable Facade - Desh Ore
appliedenergistics2:facade:0, Cable Facade - Io Surface Rock
appliedenergistics2:facade:0, Cable Facade - Io Stone
appliedenergistics2:facade:0, Cable Facade - Io Ash
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Sulfur Ore
appliedenergistics2:facade:0, Cable Facade - Volcanic Ore
appliedenergistics2:facade:0, Cable Facade - Io Lava Geyser
appliedenergistics2:facade:0, Cable Facade - Io Sulfur Geyser
appliedenergistics2:facade:0, Cable Facade - Io Dungeon Top
appliedenergistics2:facade:0, Cable Facade - Io Dungeon Floor
appliedenergistics2:facade:0, Cable Facade - Io Dungeon Bricks
appliedenergistics2:facade:0, Cable Facade - Europa Surface Ice
appliedenergistics2:facade:0, Cable Facade - Europa Stone
appliedenergistics2:facade:0, Cable Facade - Brown Europa Ice
appliedenergistics2:facade:0, Cable Facade - Emerald Ore
appliedenergistics2:facade:0, Cable Facade - Silicon Ore
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - tile.europa_surface_ice_2.name
appliedenergistics2:facade:0, Cable Facade - Europa Geyser
appliedenergistics2:facade:0, Cable Facade - Europa Geyser
appliedenergistics2:facade:0, Cable Facade - Ganymede Surface Rock
appliedenergistics2:facade:0, Cable Facade - Ganymede Stone
appliedenergistics2:facade:0, Cable Facade - Magnesium Ore
appliedenergistics2:facade:0, Cable Facade - Ilmenite Ore
appliedenergistics2:facade:0, Cable Facade - Callisto Surface Rock
appliedenergistics2:facade:0, Cable Facade - Callisto Stone
appliedenergistics2:facade:0, Cable Facade - Enceladus Ice
appliedenergistics2:facade:0, Cable Facade - Enceladus Subsurface Rock
appliedenergistics2:facade:0, Cable Facade - Coal Ore
appliedenergistics2:facade:0, Cable Facade - Titan Surface Rock
appliedenergistics2:facade:0, Cable Facade - Titan Subsurface Rock
appliedenergistics2:facade:0, Cable Facade - Titan Stone
appliedenergistics2:facade:0, Cable Facade - Sapphire Ore
appliedenergistics2:facade:0, Cable Facade - Emerald Ore
appliedenergistics2:facade:0, Cable Facade - Diamond Ore
appliedenergistics2:facade:0, Cable Facade - Coal Ore
appliedenergistics2:facade:0, Cable Facade - Lapis Ore
appliedenergistics2:facade:0, Cable Facade - Redstone Ore
appliedenergistics2:facade:0, Cable Facade - Miranda Surface Rock
appliedenergistics2:facade:0, Cable Facade - Miranda Subsurface Rock
appliedenergistics2:facade:0, Cable Facade - Miranda Stone
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Dolomite Ore
appliedenergistics2:facade:0, Cable Facade - Diamond Ore
appliedenergistics2:facade:0, Cable Facade - Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Cobalt Ore
appliedenergistics2:facade:0, Cable Facade - Nickel Ore
appliedenergistics2:facade:0, Cable Facade - Miranda Surface Rock
appliedenergistics2:facade:0, Cable Facade - Miranda Surface Rock
appliedenergistics2:facade:0, Cable Facade - Miranda Subsurface Rock
appliedenergistics2:facade:0, Cable Facade - Miranda Subsurface Rock
appliedenergistics2:facade:0, Cable Facade - Miranda Stone
appliedenergistics2:facade:0, Cable Facade - Miranda Stone
appliedenergistics2:facade:0, Cable Facade - Miranda Ice
appliedenergistics2:facade:0, Cable Facade - Triton Surface Rock
appliedenergistics2:facade:0, Cable Facade - Triton Subsurface Rock
appliedenergistics2:facade:0, Cable Facade - Triton Stone
appliedenergistics2:facade:0, Cable Facade - Triton Geyser
appliedenergistics2:facade:0, Cable Facade - Triton Small Geyser
appliedenergistics2:facade:0, Cable Facade - Barnarda C Grass
appliedenergistics2:facade:0, Cable Facade - tile.barnarda_c_grass_1.name
appliedenergistics2:facade:0, Cable Facade - Barnarda C Dirt
appliedenergistics2:facade:0, Cable Facade - Barnarda C Stone
appliedenergistics2:facade:0, Cable Facade - [WIP] Barnarda C Sandstone
appliedenergistics2:facade:0, Cable Facade - [WIP] Barnarda C Dirt
appliedenergistics2:facade:0, Cable Facade - Barnarda C Cobblestone
appliedenergistics2:facade:0, Cable Facade - Barnarda C Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Barnarda C Wood Planks
appliedenergistics2:facade:0, Cable Facade - Barnarda C Sand
appliedenergistics2:facade:0, Cable Facade - Barnarda C Violet Log
appliedenergistics2:facade:0, Cable Facade - tile.barnarda_c_birch_log.name
appliedenergistics2:facade:0, Cable Facade - Barnarda C Leaves
appliedenergistics2:facade:0, Cable Facade - Coal Ore
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Gold Ore
appliedenergistics2:facade:0, Cable Facade - Redstone Ore
appliedenergistics2:facade:0, Cable Facade - Lapis Ore
appliedenergistics2:facade:0, Cable Facade - Diamond Ore
appliedenergistics2:facade:0, Cable Facade - Silicon Ore
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Cobalt Ore
appliedenergistics2:facade:0, Cable Facade - Nickel Ore
appliedenergistics2:facade:0, Cable Facade - Tau Ceti F Dirt
appliedenergistics2:facade:0, Cable Facade - Tau Ceti F Grass
appliedenergistics2:facade:0, Cable Facade - Tau Ceti F Stone
appliedenergistics2:facade:0, Cable Facade - Surface
appliedenergistics2:facade:0, Cable Facade - Subsurface
appliedenergistics2:facade:0, Cable Facade - Stone
appliedenergistics2:facade:0, Cable Facade - Ice Surface
appliedenergistics2:facade:0, Cable Facade - Ash Rock
appliedenergistics2:facade:0, Cable Facade - Gold Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Coal Ore
appliedenergistics2:facade:0, Cable Facade - Silicon Ore
appliedenergistics2:facade:0, Cable Facade - Diamond Ore
appliedenergistics2:facade:0, Cable Facade - Rocky Surface
appliedenergistics2:facade:0, Cable Facade - Mushroom Skin
appliedenergistics2:facade:0, Cable Facade - Mushroom Geyser
appliedenergistics2:facade:0, Cable Facade - Mud
appliedenergistics2:facade:0, Cable Facade - Burnt Wood
appliedenergistics2:facade:0, Cable Facade - Frozen Wood
appliedenergistics2:facade:0, Cable Facade - Mushroom Stem
appliedenergistics2:facade:0, Cable Facade - Grass
appliedenergistics2:facade:0, Cable Facade - Dense Construction Block
appliedenergistics2:facade:0, Cable Facade - Solid Compact Machine Wall
appliedenergistics2:facade:0, Cable Facade - Compact Machine Wall
appliedenergistics2:facade:0, Cable Facade - Osmium Block
appliedenergistics2:facade:0, Cable Facade - Bronze Block
appliedenergistics2:facade:0, Cable Facade - Refined Obsidian
appliedenergistics2:facade:0, Cable Facade - Charcoal Block
appliedenergistics2:facade:0, Cable Facade - Refined Glowstone
appliedenergistics2:facade:0, Cable Facade - Steel Block
appliedenergistics2:facade:0, Cable Facade - Teleporter Frame
appliedenergistics2:facade:0, Cable Facade - Steel Casing
appliedenergistics2:facade:0, Cable Facade - Dynamic Tank
appliedenergistics2:facade:0, Cable Facade - Structural Glass
appliedenergistics2:facade:0, Cable Facade - Dynamic Valve
appliedenergistics2:facade:0, Cable Facade - Copper Block
appliedenergistics2:facade:0, Cable Facade - Tin Block
appliedenergistics2:facade:0, Cable Facade - Thermal Evaporation Controller
appliedenergistics2:facade:0, Cable Facade - Thermal Evaporation Valve
appliedenergistics2:facade:0, Cable Facade - Osmium Ore
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Fluorite Ore
appliedenergistics2:facade:0, Cable Facade - Lead Ore
